,ID,Isi_Tweet,Sentimen
48,585496427,prabowo presiden jokowi wakilnya mantep banget,1
49,1191466937,rt amin rais usul pasangan capres jokowi hatta ditolak ya ya emang gak level mata rakyat,-1
50,-1723627625,supir taxy blue bird bilang akn pilih prabowo klau jokowi tdk jdi calon presiden pilihan rakyat,1
51,-13071843,next presiden prabowo subianto pemimpin murah senyum lemah lembut berani aturan keputusan donjon,1
52,606291014,merananya nasib korban lumpur lapindo berlebaran tenang tuh tvone antv byk iklan presiden arb,-1
53,229338573,rt donywenas next presiden prabowo subianto pemimpin murah senyum lemah lembut berani aturan,1
54,1860489893,disanjung presiden hatta janji anti korupsi ketua partai amanat nasional pan hatta rajasa,1
55,-407389316,kalo presiden jokowi ernestprakasa klo gerindra tembus vote pileg majuin gimana hayo,1
56,1684236902,rt tikasabila kalo presiden jokowi ernestprakasa klo gerindra tembus vote pileg majuin gimana,1
57,-1504153372,rt politikhangat disanjung presiden hatta janji anti korupsi ketua partai amanat nasional pan hatta rajasa,1
58,-753668320,ibonkidham ai presiden megawati joseph stalin vladimir lenin boga gelar sarjana kitu,0
59,-1795796480,farhatabbaslaw kalo presiden jokowi tetep gubernur jakarta ga,-1
60,1336629421,plh capres arb dh ya bangun kampung halaman aja dya ga bsa ngarep bangun tanah air,-1
61,-484614980,om bahas om capres wiranto,1
62,6160318,provokatrok kalo gitu presiden jokowi wapres jokowi menteri jokowi gubernur jokowi aja jokowi blm beres,1
63,-1207114164,mun presiden megawati tau hak nya awk mutiaraihdina persenan pjg awk kh ibalboncujr oh hahaha mutiaraihdina,0
64,1262889998,leh namanya aja sma dgn anu haha ibalboncujr mun presiden megawati tau hak nya awk mutiaraihdina persenan pjg awk,0
65,127424669,hahaha mutiaraihdina leh namanya aja sma dgn anu haha ibalboncujr mun presiden megawati tau hak nya awk,0
66,1578004761,busung ibalboncujr hahaha mutiaraihdina leh namanya aja sma dgn anu haha ibalboncujr mun presiden megawati tau,0
67,1417002969,ketua pan hatta capres dahlan tolol,1
68,-46949434,presiden jokowi kapolri ahok indonesia aman tentram,1
69,2100655387,rt presiden jokowi kapolri ahok indonesia aman tentram,1
70,1141911408,gerindra bertnya twitter presiden prabowo subianto yah,0
71,-955650199,biar rt ulinyusron mendongkrak elektabiltas presiden prabowo bikin survei tradisi,0
72,440817689,rt maulfania presiden dahlan iskan wakil presiden ahok cocok pol iki lek sampe dadi tenan luwih sangar timbang messi neymar,1
73,962712768,capres jokowi gratiskan berobat dki rt hehe dipikir spt x yettidewi malikasyari gunawanwj beautywinda,1
74,-461765225,coba menghayal prabowo capres jokowi cawapres twitiseng,1
75,-1299762156,rt sandyjavie coba menghayal prabowo capres jokowi cawapres twitiseng,1
76,-1643312027,bambangelf kebalik smua yg hrus jd capres arb hr n yg wapres aja,1
77,-1224726920,klo prabowo presiden jokowi wakil ahok dukung,1
78,-396704213,berdoa yunendraanggria klo prabowo presiden jokowi wakil ahok dukung,1
79,936405276,terserah islam mo ngomong suka lihat rakyat terlena tv pro capres jokowi gebernur,1
80,1876493607,capres arb aja pemilu biar pilih arb sekolah geratis mencairkan dana gkn kelompok love,1
81,-1516140399,rt dewinuramaliaaa capres arb aja pemilu biar pilih arb sekolah geratis mencairkan dana gkn,1
82,857307852,bah presiden megawati heboh rt fxsunyounf ggtiffsh entar mentrimentri goyang,-1
83,1385161643,kulikopi baca newsticker rcti arb disandingkan jokowi setuju jokowi presiden arb,0
84,-1385570231,rt istanarakyat pd sy dipanggil presiden men,0
85,-1735692449,rt istanarakyat maruba pakpahan alm pelapor dimasa pemerintahan presiden soeharto pr,0
86,-444803703,rt alkhaitami dg presiden jokowi lbh mudah ngurusi jkt,1
87,-810622913,hi mynameis bakrie capres arb first name tlong bwain minum pakai bakrie imamdarto danangpostman,-1
88,1445070385,peluang wapres saingan bpk presiden prabowo hahaha,-1
89,1576795289,gimana presiden arb nyebut nama negaranya aja indonesia woy,-1
90,-985587656,presiden joko widodo soon comingsoon,1
91,-1355322376,rosell presiden jk yg membeli messi mrk hrs membayar sktr utk byr klausal pembelian pajak pendapatan sport,0
92,-2120008320,bpk capres wiranto ko skrng kurus yaa,0
93,-1137554714,rt rosell presiden jk yg membeli messi mrk hrs membayar sktr utk byr klausal pembelian paja,0
94,-1748197835,presiden soeharto presiden megawati mantan ketua mpr amien rais hidayat n wahid wapres boediono anies baswedan,0
95,1724811989,rt jogjaonlen presiden soeharto presiden megawati mantan ketua mpr amien rais hidayat n wahid wapres boediono anies basw,0
96,1997963046,bkan lgi presiden jokowi lg kalah lantak ente hha ao cantik men tuo kagek,0
97,554467367,kali presiden kali presiden hatta hk umar w sudarmono tri habibie mega hamzah h jk budiono,0
98,442696394,capres wiranto pasangan ht,0
99,-336342492,rt sdh dibahas ht serius yugopriono capres wiranto pasangan ht,1
100,1649709013,sdh dibahas ht serius yugopriono capres wiranto pasangan ht,1
101,1015671682,capres prabowo bagus kayanya,1
102,-1499596423,ciee yg udh pemilu rt arsyadarmawan capres prabowo bagus kayanya,0
103,1298575462,cucu sby said kakek ku presiden sby kakek calon presiden hatta ayahku calon presiden ibas,0
104,911390686,muhammadiyah berpolitik ketumnya bertemu arb utk membicarakan pencalonan presiden arb,0
105,2008910028,capres arb beriklan mengeluarkan yg membuai rakyat statement elektabilitasnya jgn hnya segitunya,-1
106,-277295061,rt tukimanchu capres arb beriklan mengeluarkan yg membuai rakyat statement elektabilitasnya jgn hn,-1
107,712067101,posisi ideal indonesia presiden wakil presiden gubernur dki ketua kpk samadabraham,1
108,163274394,haha gk gambar presiden jokowi aja ayyakk uda siapkan bagikan thr uang gambar presiden ya rt,1
109,1130931790,momeymyra boleee laaa join group rumahku dikampungku presiden hatta manager ahli org hahahaha,0
110,1774884733,erdysaparudi eyaaa coy jokowi dihati rakyat coy pilpres rakyat jokowi presiden jokowi fenomenal coy,1
111,1216047841,lebaran sik pakdhe kampanye mulu tribunnews tribun jakarta ical usung program soeharto terpilih presiden aburizal bakrie,-1
112,1877642134,jusuf kalla mudik makassar pakai pesawat komersial wakil presiden jusuf kalla membiasakan u,0
113,-1949013371,mohon maaf lahir batin ya capres prabowo,1
114,1491274112,konvoi pendukung capres jokowi pilpres dilarang ga ya,1
115,-986267962,capres dahlan iskan bener ucapan med ied nya hehe,-1
116,-132228606,rt capres dahlan iskan bener ucapan med ied nya hehe,-1
117,-1659120615,alfilg aburizalbakrie pendukung abadi paman arb berdukung cita pemilihan presiden arb better future,1
118,-211259429,seharian calon presiden aburizal bakriert seharian calon suami p,0
119,841914638,alhamduilah lebaran dgn presiden jokowi amien,1
120,887586429,rt alhamduilah lebaran dgn presiden jokowi amien,1
121,-692722571,yaraabb kya presiden jk dh zulkarnadii tikataffy payungkanlah hujan ni,0
122,783113246,sebel liat capres aburizal bakrie gtau knapa ya nyalon dsar jg g ngrti ngurusin indonesia ngurusin lapindo aja ga,-1
123,1508379348,rt sarahafrida sebel liat capres aburizal bakrie gtau knapa ya nyalon dsar jg g ngrti ngurusin indonesia ngurusin lap,-1
124,258894753,bayusyecherklax blh komentar peluang golkar dlm capres arb ngotot maju hrs kader yg arb klo aman,-1
125,-216779031,rt bayusyecherklax blh komentar peluang golkar dlm capres arb ngotot maju hrs kader yg arb klo,-1
126,-1480022221,puluhan orang terjepit terinjak mantan wakil presiden jusuf kalla dukalebaran,0
127,53569627,rt wennywinston puluhan orang terjepit terinjak mantan wakil presiden jusuf kalla dukalebaran,0
128,-1353704415,hl pembagian zakat rumah mantan wakil presiden jusuf kalla ricuh,0
129,-35290723,rt edymasran akhmadrf ht presiden lbh drpd mega ical pro ekonomi rakyat capres jokowi cawapres ht mahfud,1
130,979983189,wkwkwkwk ndak siyap menerima perbedaan ide lha usul ahok aja yg presiden jokowi wakilnya eh disengiti,-1
131,-1360460658,wakil presiden jusuf kalla jk mengadakan open house kediamannya,0
132,1736173248,ponakannya capres wiranto nyariin gw anjrot bener nih,0
133,90300412,wakil presiden jusuf kalla jk mengadakan open house kediamannya mantan wakil preside,0
134,484369493,wakil presiden jusuf kalla jk mengadakan open house kediamannya mantan wakil presiden jusuf kalla jk har,0
135,-1021788859,teamfollowback open jk berdiri teras rumahnya mantan wakil presiden jusuf kalla akrab disapa jk berd tfbjp tfb,0
136,1427834296,jk ical paloh tertawa teman sejati mantan wakil presiden jusuf kalla alias jk meneri,0
137,671760608,open jk berdiri teras rumahnya mantan wakil presiden jusuf kalla akrab disapa jk berdiri,0
138,478985921,open jk berdiri teras rumahnya mantan wakil presiden jusuf kalla akrab disapa jk berdiri teras rumahnya jalan,0
139,-1872491132,jk menampik didekati pimpinan parpol nama mantan wakil presiden jusuf kalla jk calon,1
140,-1205946597,jk tidaknya jokowi capres tergantung kinerja jakarta mantan wakil presiden jusuf kalla menyebut layak tidaknya wifi,0
141,-402289644,wakil presiden jusuf kalla menyebut layak tidaknya joko widodo calon presiden tergantung kin,0
142,739697792,wakil presiden jusuf kalla menyebut layak tidaknya joko widodo calon presiden tergantung kinerjanya gubern,0
143,-1876923779,open house istana negara menghabiskan dana rp miliar mantan wakil presiden jusuf kalla,0
144,-1922848508,rt mantan wakil presiden jusuf kalla nasdem pdip cocok koalisi pemilu,1
145,486342513,jk paksa keyakinan warga syiah sampang mantan wakil presiden jusuf kalla alias jk pemaksaan,0
146,8428793,lebaran jakob oetama silaturahim rumah jk tokoh media nasional jakob oetama bersilatuhrahim mantan wakil presiden jusuf kalla,0
147,73953178,rt antrasindocorp jk tidaknya jokowi capres tergantung kinerja jakarta mantan wakil presiden jusuf kalla menyebut htt,0
148,-702954085,jk jokowi layak presiden berhasil pimpin jakarta mantan wakil presiden jusuf kalla jk menilai,1
149,340834133,tuitindonesia jokowi diusung capres jk komentar indonesia tuit,1
150,-736073766,rt tuitindonesia tuitindonesia jokowi diusung capres jk komentar indonesia tuit,1
151,-1622929053,lahir bathin jk ayo maju capres jk indonesia butuh orang berani,1
152,425688257,apapun partainya presiden prabowo,1
153,1844774178,rt denmaskoes apapun partainya presiden prabowo,1
154,1729127898,jk mengaku niat konvensi demokrat mantan wakil presiden jusuf kalla jk mengaku berniat mengikuti,-1
155,2090038940,sy lbih suka capres drpda farhatabbaslaw krn mrka brkampanye dg mmbntu lngsung rkyat yg mmbuthkan drpd twtr,1
156,1468093739,jk butuh jokowi capres mantan wakil presiden jusuf kalla menyebut layak tidaknya joko widodo,-1
157,-1717059538,klw jokowi yg mnjadi presiden wiranto arb figur bersih,1
158,-65371087,henky santhoz jk remisi balasan napi berkelakuan mantan wakil presiden jusuf kalla b bot tweet,0
159,-405728984,utk mas jokowi clearkan jkt yg jd isu hangat mas yg capres wiranto arb prabowo,-1
160,-1173518556,jokowi layak jd presiden jk berhasil pimpin jkt,1
161,209400576,rt lionanhar capres md yukkkk,1
162,-941394656,calon besan jk nongol elite parpol mantan wakil presiden jusuf kalla jk magnet elite partai polit,1
163,-1352625100,via okezonebandung bandung calon besan jk nongol elite parpol mantan wakil presiden jusuf kalla jk magnet h,1
164,2002278223,jk bimbang konvensi capres demokrat mantan wakil presiden jusuf kalla jk mengaku diajak berbincang ko,-1
165,-1687898209,rt okezonebandung bandung jk bimbang konvensi capres demokrat mantan wakil presiden jusuf kalla jk mengaku h,-1
166,599844230,rt bandungpesona via okezonebandung bandung jk bimbang konvensi capres demokrat mantan wakil presiden jusuf kalla jk,-1
167,1731604751,rt rw lurah camat presiden vebyadriana izin lu,0
168,-470334659,usul aja pemilu capres jk cawapres dahlan iskan non partai kepilih deh,1
169,-1842585975,rt rizaldidas usul aja pemilu capres jk cawapres dahlan iskan non partai kepilih deh,1
170,-1742885503,factak angeelkaramooy pernikahan dihadiri olh presiden sby wakil presiden jusuf kalla kabarnya menelan biaya miliar,0
171,-826413444,factak angeelkaramooy slain presiden sby wakil presiden jk hadir jga pra selebriti indo yg berbaur ditengah tamu undangan,0
172,2146463894,mantan presiden megawati namanya mega sdara ga kreatip nih,0
173,-217753953,utk org jawa julukan capres arb pas ical,0
174,-1105216814,j kalla dukungan rakyat kpd capres jokowi tsunami sunarwidjaja,1
175,88524544,j kalla dukungan rakyat kpd capres jokowi tsunami paijokopet yettidewi,1
176,595564193,j kalla dukungan rakyat kpd capres jokowi tsunami joenieardie didiadinugroho,1
177,-1786881521,j kalla dukungan rakyat kpd capres jokowi tsunami femyliakarina,1
178,62862046,rt j kalla dukungan rakyat kpd capres jokowi tsunami sunarwidjaja,1
179,1740355580,rt j kalla dukungan rakyat kpd capres jokowi tsunami femyliakarina,1
180,1783683570,rt j kalla dukungan rakyat kpd capres jokowi tsunami paijokopet yettidewi,1
181,1077260174,rt j kalla dukungan rakyat kpd capres jokowi tsunami joenieardie didiadinugro,1
182,-421614152,j kalla dukungan rakyat kpd capres jokowi tsunami femyliakarina,1
183,-1694671602,dahsyat j kalla dukungan rakyat kpd capres jokowi tsunami,1
184,46576613,jd capres jokowi hrs dicarikan tandingnya yg sepadan jgn capres yg basiiii n pecundang,1
185,-1704388998,rt chairulapane jd capres jokowi hrs dicarikan tandingnya yg sepadan jgn capres yg basiiii n pecundang,1
186,1272885467,ustad jgn ampe jokowi jd presiden jokowi jd presiden ahok gubernur donk cuku solo aja jokowi ngejadiin kristen pemimpin,-1
187,1753387939,rt harrybumiagung ustad jgn ampe jokowi jd presiden jokowi jd presiden ahok gubernur donk cuku solo aja jokowi ngejadi,-1
188,1697365339,rt jokowi joko widodo pemimpinlah maaf rakyatnya,-1
189,268699458,indopolitica presiden jokowi wapres jk,1
190,1843745648,ht gaet pemilih pemula pemilu partai hati nurani rakyat hanura menjodohkan capres wiranto,1
191,-435381347,rt politikhangat ht gaet pemilih pemula pemilu partai hati nurani rakyat hanura menjodohkan capres wiranto,1
192,-639035120,kalo mbah presiden rajasa mbah suruh salon nyemir rambutnya tengil banget liatnya,-1
193,1989262446,tp sayangnya ya mbah kalo mbah presiden rajasa mbah suruh salon nyemir rambutnya tengil banget,-1
194,1851657595,hiks annaswane tp sayangnya ya mbah kalo mbah presiden rajasa mbah suruh salon nyemir rambutnya,-1
195,970066993,biar richard gere mbah kalo mbah presiden hatta rajasa mbah suruh salon nyemir rambutnya annaswane,-1
196,-2039770583,manjuran nomer presiden arb saudi baeh wh ku sms ye,0
197,480807270,adnanyzr ya cb cek pasal uud yg mengatur ttg sumpah jabatan presiden jk melanggar uud inkonstitusional ga,0
198,-1498360868,gita wirjawan jng presiden deh urus bulutangkis kalo presiden wiranto salah,-1
199,1697410898,sby semangati prabowo jakarta pos kota idul fitri dimanfaatkan calon presiden prabowo subianto menemui presiden su,0
200,431275363,rt nikenfarrisa sby semangati prabowo jakarta pos kota idul fitri dimanfaatkan calon presiden prabowo subianto menemui,0
201,564835565,jd si uban lg yak kl mbah presiden hatta rajasa mbah suruh salon nyemir rambutnya tengil banget liatnya,-1
202,-443111358,sy dukung jokowiahok jd presiden indonesia bersih dr koruptor n lbh mndukung lg bl ad uu uk mnggantung mati koruptor,1
203,210743738,rt sy dukung jokowiahok jd presiden indonesia bersih dr koruptor n lbh mndukung lg bl ad uu uk mnggantung mati,1
204,699530046,deklarasi capres joko widodo chairul tanjung,0
205,1382933637,jokowi harga mati rt sy dukung jokowiahok jd presiden indonesia bersih dr koruptor n lbh mndukung lg bl ad uu,1
206,2096331379,rt morrinosuares jokowi harga mati rt sy dukung jokowiahok jd presiden indonesia bersih dr koruptor n lbh mn,1
207,-1979782774,presiden jokowi berbuat jakarta hantayuda danimulyana,1
208,1888781153,kalo ahok president gmn rustamibrahim presiden jokowi berbuat jakarta hantayuda danimulyana,0
209,858114335,dukung rustamibrahim presiden jokowi berbuat jakarta hantayuda danimulyana,1
210,1217165350,wakil presiden hatta perdana menteri kabinet hatta hatta ii republik indonesia serikat ris,0
211,-908661476,rt ifutureleaders wakil presiden hatta perdana menteri kabinet hatta hatta ii republik ind,0
212,1280736805,menjajakan ginjalnya bundaran hi dwi menyambangi rumah mantan wakil presiden jusuf kalla ka,0
213,-1859142298,rt bgharianja kayaknya seru ya kalo presiden jokowi wapres dahlan ishan gubernur jakarta ahok menteri perhubungan ignasius jonan,1
214,-855554127,capres karang taruna rw bdg butuh support kegiatan hut ri,0
215,-1213758546,rt jacksenpartogi rt bgharianja kayaknya seru ya kalo presiden jokowi wapres dahlan ishan gubernur jakarta ahok menteri perhubun,1
216,-1744590994,presiden jokowi mngubah blusukan mnjadi menyamar tukang bejak tukang bubur ayam dll biar denger keluhan rakyt,1
217,-1990863846,mantan wakil presiden jusuf kalla bersilaturahmi lebaran kediaman mantan presiden bj habibie,0
218,-363663663,presiden joko widodo wakil abraham samad ketua dpr basuki tjahja poernama mantap,1
219,-1447372431,eneggg banget ogut liat iklan capres arb iklan sok bijak bnr kaca ga sii rumahnya,-1
220,1432799291,rt eneggg banget ogut liat iklan capres arb iklan sok bijak bnr kaca ga sii rumahnya,-1
221,-237352346,maju capres mahfud md konvensi demokrat,0
222,-1131485195,rt maju capres mahfud md konvensi demokrat,0
223,1315650102,teamfollowback jusuf kalla organisasi apapun bertindak polisi mantan wakil presiden jusuf kalla menega tfbjp tfb,0
224,1704622575,jusuf kalla organisasi apapun bertindak polisi mantan wakil presiden jusuf kalla auto tweet,0
225,1891526995,jusuf kalla organisasi apapun bertindak polisi mantan wakil presiden jusuf kalla toleransi bag,0
226,-1955974202,mantan wakil presiden jusuf kalla toleransi aksi kekerasan organisasi massa berti,0
227,1084691371,pameran ya maju capres mahfud md konvensi demokrat,0
228,-1938418728,bpk capres karang taruna rw bdg butuh support kegiatan hut ri,0
229,-821450536,pttrakindoutama bumn sep lab dahlan iskan berhasil menjadikan bumn sehat tdk bangkrut jd tdk lbh mundur,1
230,440427650,indonesia keren kalo jk presiden jokowi wapres ahok salah menteri,1
231,1161270846,rt adaryantakahadi pttrakindoutama bumn sep lab dahlan iskan berhasil menjadikan bumn sehat tdk bangkrut jd,1
232,-1615355511,neng presiden megawati preesiden sby mangan sepuasmu mas nek ws ijen p jodiedekantara,0
233,563956076,ernestprakasa kalo ntar capres alasan golput bang,1
234,-1263442102,rt shandikaraja ernestprakasa kalo ntar capres alasan golput bang,1
235,2045044321,wkwk tweetnesian remajaindonesia pengen banget sekolah dikunjungi,0
236,-163185180,teamfollowback jurus jk ekonomi indonesia tumbuh mantan wakil presiden jusuf kalla jk tfbjp tfb,1
237,-763626381,presiden prabowo wakil jokowi habibie jenius nahh indonesia maju tuh,1
238,54393019,presiden prabowo wapres ahok indonesia maju,1
239,254454252,hatta kroninya demokrat,-1
240,-918591652,rt elsaadwirasah presiden prabowo wakil jokowi habibie jenius nahh indonesia maju tuh,1
241,-505746484,rt giovanipetrucci presiden prabowo wapres ahok indonesia maju,1
242,-519027662,aja yg duit yg presiden arb ht ct duuhhhh,-1
243,-1827993058,joshuaigho ratnaspaet sbyudhoyono yg presiden dpt bayangkan gmn negri,-1
244,-1791853220,rt joshuaigho ratnaspaet sbyudhoyono yg presiden dpt bayangkan gmn neg,-1
245,1146716997,satya lencana pengabdian seni mantan presiden megawati jazzindonesia,0
246,-1857679417,tuitmanado konvensi capres mahfud md konsultasi kiai manado tuit,0
247,-564920943,konvensi golkar menjelang pilpres mencari tokoh utama capres wiranto pemenangnya,1
248,1633184832,rt konvensi golkar menjelang pilpres mencari tokoh utama capres wiranto pemenangnya,1
249,-1054658320,top pengunjung peti mati mantan presiden soekarno mantan wakil presiden hatta,0
250,-1034757091,kl pdip nyalonin megawati jd capres jokowi nyapres partai pdip kalah pemilu,-1
251,-1414218545,rt bayuworo kl pdip nyalonin megawati jd capres jokowi nyapres partai pdip kalah pemilu,-1
252,-1677255362,iklan djarum versi mengena dibanding iklan capres arb,-1
253,1543393863,rt bayuwelwol iklan djarum versi mengena dibanding iklan capres arb,-1
254,1862715299,mesir memanas elbaradei mundur kursi wakil presiden dahlan tolol,0
255,397684915,pengusaha mebel ntar walikota gubernur tau presiden,1
256,1104939288,rt pengusaha mebel ntar walikota gubernur tau presiden,1
257,1042378254,baca koran kompas artikel janji kosong lapindo komen capres arb yg iklannya pro rakyat,-1
258,1891627734,rt baca koran kompas artikel janji kosong lapindo komen capres arb yg iklannya pro raky,-1
259,-108497195,salam hormat presiden prabowo,1
260,1660477448,lo gitu anak mentri presiden jokowi lo coba deh gue lo ga nyesel,0
261,1978014189,aburizalbakrie gwirjawan yg mengecam kudetamesir respect,0
262,4448740,yg jd presiden biar tetep jd gubernur dki,1
263,632714385,rt yg jd presiden biar tetep jd gubernur dki,1
264,1047105897,coba yg capres dahlan iskan wapresnya jokowi indonesia,1
265,-964105686,rt rezabungul coba yg capres dahlan iskan wapresnya jokowi indonesia,1
266,-48145460,tweetnesian remajajamansd presiden jokowi,1
267,1608652070,jenewar infomambang presiden megawati berjabat tangan sby tp wajar karna perempuan ahmad jg perempuan,0
268,815200286,promosi pasang iklan presiden widodo,-1
269,-1868274921,rt alhamdulilah orang sibuk kepingin presiden sibuk kepingin jakarta,-1
270,1607150181,ngumpulin uang tunai persiapan capres jokowi bangunegeri mustofanahra detikcom,1
271,-1585560320,nya indonesia pimpin presiden yg tp demokrasi dukung presiden presiden psm,1
272,-1251065802,calon presiden arb wiranto prabowo hatta rajasa dll latihan xp egyptmassacre,-1
273,1966182121,capres prabowo arb wiranto hatta rajasa dll ikutlah aksi peduli mesir lumayan rebut suara islamis ngok fauziplanner,0
274,-632223863,rt yudhayuliardi capres prabowo arb wiranto hatta rajasa dll ikutlah aksi peduli mesir lumayan rebut suara islamis n,0
275,1475520884,ngok banget dah rt yudhayuliardi capres prabowo arb wiranto hatta rajasa dll ikutlah aksi peduli rebut suara,0
276,793477314,rt fauziplanner calon presiden arb wiranto prabowo hatta rajasa dll latihan xp eg,-1
277,-1107023903,rt fauziplanner ngok banget dah rt yudhayuliardi capres prabowo arb wiranto hatta rajasa dll ikutlah aksi peduli mesir,0
278,-1869788668,singgung gaji rudi ratusan juta jk moral halangi korupsi mantan wakil presiden jusuf kalla menanggapi penangkapan k,0
279,-547505888,jk sesalkan rudi rubiandini terima suap mantan wakil presiden jusuf kalla jk menyesalkan peristiwa hukum,0
280,2089509912,mantan wakil presiden jusuf kalla menanggapi penangkapan kepala skk migas rudi rubaindini kpk dugaan korupsi j,0
281,1082936213,lakon roy marten mega restui capres jokowi berita kabar,1
282,1290336271,capres cawapres menujuindonesiabaru,0
283,1481466402,rt capres cawapres menujuindonesiabaru,0
284,242966259,rt beritakabar lakon roy marten mega restui capres jokowi berita kabar,1
285,2022773100,rt presiden jokowi aja rt setuju calon presiden ht,1
286,2012414234,jk toleransi implementasinya mantan wakil presiden jusuf kalla memuji pidato kenegaraan presiden susilo info,0
287,-652099155,tokoh yg lahir jogja presiden soeharto presiden megawati mantan ketua mpr amien rais hidayat n wahid wapres boediono inijogja,0
288,1444740957,usul presiden jk org saudi tdk lg suka dgn kanjeng nabi saw kt beliau warga negara kehormatan indonesia,0
